,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,Saitama Inu,0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,https://etherscan.io/token/0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,Etherium,02/06/2021 13:36:16,100000000000000000,282,901,9,New
1,EthMoonClone.com,0x5f40d613d710b4ec87f530e6d35aadb69910b4fc,https://etherscan.io/token/0x5f40d613d710b4ec87f530e6d35aadb69910b4fc,Etherium,02/06/2021 13:36:16,15000000000,14,27,9,New
2,Ethereum Star â,0x39b00bdd39c4a1e6743a3f904816778db7e26904,https://etherscan.io/token/0x39b00bdd39c4a1e6743a3f904816778db7e26904,Etherium,02/06/2021 13:36:16,991876504.38775368,179,909,8,New
3,DogKing,0x09c7d53dcf146fb9e373d406fb19ed330d9323c8,https://etherscan.io/token/0x09c7d53dcf146fb9e373d406fb19ed330d9323c8,Etherium,02/06/2021 13:36:16,10000000000000000,4,4,9,New
4,luckyinu,0xd1c8fa30fded3e0031dc24c1646d74108b096cc2,https://etherscan.io/token/0xd1c8fa30fded3e0031dc24c1646d74108b096cc2,Etherium,02/06/2021 13:36:16,100000000000000000,141,266,9,New
5,Give Global,0xc1019c697009708e6bd1cf12f57863bb751741c9,https://etherscan.io/token/0xc1019c697009708e6bd1cf12f57863bb751741c9,Etherium,02/06/2021 13:36:16,1000000000000000,3,11,18,New
6,Give Global,0x99b7965bc3e02960a20cd5404f3d96d77acff4bc,https://etherscan.io/token/0x99b7965bc3e02960a20cd5404f3d96d77acff4bc,Etherium,02/06/2021 13:36:16,888888888,9,25,18,New
7,American Hokkaidu Inu,0x4623aa7b4ed89bbf8461f6d402658a4a588ed8a2,https://etherscan.io/token/0x4623aa7b4ed89bbf8461f6d402658a4a588ed8a2,Etherium,02/06/2021 13:36:16,4600000000000000,6,8,9,New
8,EthereumPump,0x07eb738b399e9dbffab222604bce086b857bf415,https://etherscan.io/token/0x07eb738b399e9dbffab222604bce086b857bf415,Etherium,02/06/2021 13:36:16,1000000000000000,11,32,9,New
9,Automata,0xa2120b9e674d3fc3875f415a7df52e382f141225,https://etherscan.io/token/0xa2120b9e674d3fc3875f415a7df52e382f141225,Etherium,02/06/2021 13:36:16,1000000000,1 (0.00%),1,18,New
