,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges
12,Chainlink,0x514910771af9ca656af840dff83e8264ecf986ca,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca,Etherium,01/06/2021 16:51:49,1.00 billion,537158 ( 0.054%),8868907,N/A,Common,30.00,12.89 billion,1.64 billion,429.51 million,"Binance,Huobi Global,OKEx,Coinbase Pro,Upbit,FTX,DigiFinex,Kraken,Bitstamp,Gate.io,OceanEx,FLYBIT,BeQuant,AscendEX (BitMax),ProBit,Coinsbit,MXC,Dex-Trade,Nami,TOKOK,Dove Wallet,Nash,RightBTC,Brexily,Float SV,CREX24,STEX,Unnamed.Exchange,PayRue"
13,Bitcoin Cash,,,,01/06/2021 16:51:52,18.75 million,,,N/A,Common,683.51,12.82 billion,1.84 billion,18.75 million,"OKEx,Binance,Huobi Global,Bitcoin.com,Changelly PRO,Upbit,DigiFinex,Coinbase Pro,Gate.io,Kucoin,CoinEx,CoinTiger,BKEX,AEX,WTZ Exchange,Catex,KickEX,OceanEx,TOKOK,ZB Global,CoinDeal,TheRockTrading,BC Bitcoin,Felixo,Kuna,Bitladon,Braziliex,Lykke,Coinmate,Dove Wallet"
14,Litecoin,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,https://bscscan.com/token/0x4338665cbb7b2485a8855a139b75d5e34ab0db94,Binance,01/06/2021 16:52:04,67.78 million,12554,513212,N/A,Common,180.43,12.23 billion,2.59 billion,67.78 million,"Binance,Changelly PRO,Bitcoin.com,OKEx,Huobi Global,Coinbase Pro,DigiFinex,Gate.io,Upbit,Kraken,CoinTiger,Coinsbit,Coineal,LBank,BW,ABIT,Simex,BTCAlpha,BKEX,Bilaxy,MAX Exchange,TimeX,CoinJar,Bitwired,BitBay,Bitsten,SIGEN.pro,TradeOgre,BTCMarkets,IndependentReserve,BTCsquare,Richamster,GDAC"
15,Polygon,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Etherium,01/06/2021 16:52:16,10.00 billion,95212 ( 1.282%),1088862,N/A,Common,1.81,11.33 billion,2.83 billion,6.26 billion,"Binance,DigiFinex,Coinbase Pro,OKEx,Huobi Global,Kucoin,FTX,WazirX,Indodax,Gate.io,Bitladon,Bitcoiva,Hotbit,ProBit,AnkerSwap,Catex,Dove Wallet"
16,Binance USD,,,,01/06/2021 16:52:17,8.63 billion,,,N/A,Common,1.00,8.63 billion,4.63 billion,8.63 billion,"Binance,Binance DEX,Gate.io,WazirX,PancakeSwap v2,Uniswap v2,Changelly PRO,Bitcoin.com,Poloniex,CEX.io"
17,Stellar,,,,01/06/2021 16:52:20,50.00 billion,,,N/A,Common,0.4228,8.54 billion,1.77 billion,20.21 billion,"Upbit,Binance,OKEx,Coinbase Pro,Changelly PRO,Bitcoin.com,Huobi Global,DigiFinex,Bitstamp,Bithumb,ExMarkets,Hotbit,Coinsbit,FINEXBOX,ProBit,Coineal,CoinEx,Catex,AEX,MXC"
18,Solana,,,,01/06/2021 16:52:21,494.52 million,,,N/A,Common,30.41,8.29 billion,537.05 million,272.64 million,"Binance,OKEx,DigiFinex,FTX,Huobi Global,Bitfinex,Bithumb Global,Gate.io,Crypto.com,Bilaxy"
19,VeChain,,,,01/06/2021 16:52:23,85.99 billion,,,N/A,Common,0.1202,7.84 billion,1.13 billion,65.24 billion,"Binance,Huobi Global,Kucoin,DigiFinex,Bitvavo,Bitcoin.com,Crypto.com,Gate.io,Bitfinex,Bittrex"
20,Ethereum Classic,,,,01/06/2021 16:52:25,116.31 million,,,N/A,Common,67.14,7.81 billion,2.81 billion,116.31 million,"Upbit,DigiFinex,OKEx,Binance,Huobi Global,Bithumb,Coinbase Pro,Gate.io,Coinone,Bitfinex,MXC,EXRATES,Dex-Trade,Atomars,Hotbit,AscendEX (BitMax),BTCMarkets,BuyUcoin,NovaDAX,Dove Wallet"
21,Wrapped BTC,,,,01/06/2021 16:52:26,"185,710.79",,,N/A,Common,"36,315.38",6.74 billion,33.37 million,"185,710.79","SushiSwap,Curve,Uniswap v2,Gate.io,Compound,CEX.io,Bilaxy,Kyber Network,HitBTC"
22,Terra,,,,01/06/2021 16:52:28,987.12 million,,,N/A,Common,6.17,6.09 billion,30.17 million,987.12 million,"Kucoin,Bittrex,Upbit,Bitrue"
