,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,luckyinu,0xd1c8fa30fded3e0031dc24c1646d74108b096cc2,https://etherscan.io/token/0xd1c8fa30fded3e0031dc24c1646d74108b096cc2,Etherium,02/06/2021 13:03:16,100000000000000000,57,79,9,New
1,Give Global,0xc1019c697009708e6bd1cf12f57863bb751741c9,https://etherscan.io/token/0xc1019c697009708e6bd1cf12f57863bb751741c9,Etherium,02/06/2021 13:03:16,1000000000000000,3,11,18,New
2,Give Global,0x99b7965bc3e02960a20cd5404f3d96d77acff4bc,https://etherscan.io/token/0x99b7965bc3e02960a20cd5404f3d96d77acff4bc,Etherium,02/06/2021 13:03:16,888888888,8,24,18,New
3,American Hokkaidu Inu,0x4623aa7b4ed89bbf8461f6d402658a4a588ed8a2,https://etherscan.io/token/0x4623aa7b4ed89bbf8461f6d402658a4a588ed8a2,Etherium,02/06/2021 13:03:16,4600000000000000,4,5,9,New
4,EthereumPump,0x07eb738b399e9dbffab222604bce086b857bf415,https://etherscan.io/token/0x07eb738b399e9dbffab222604bce086b857bf415,Etherium,02/06/2021 13:03:16,1000000000000000,11,31,9,New
5,Automata,0xa2120b9e674d3fc3875f415a7df52e382f141225,https://etherscan.io/token/0xa2120b9e674d3fc3875f415a7df52e382f141225,Etherium,02/06/2021 13:03:16,1000000000,1 (0.00%),1,18,New
6,Cons Inu,0xec03af39131ab3b8509b87b9c9257b2e6651764d,https://etherscan.io/token/0xec03af39131ab3b8509b87b9c9257b2e6651764d,Etherium,02/06/2021 13:03:16,1000000000000000,5,10,18,New
7,DefureDoge,0x43b11adeba77fc12cc64179332b9d2fb03d535e7,https://etherscan.io/token/0x43b11adeba77fc12cc64179332b9d2fb03d535e7,Etherium,02/06/2021 13:03:16,1000000000000000,2,4,9,New
8,Akita Cookies,0xf0c8ba02ec1d22827c98327e29e14ee7bed1cc0f,https://etherscan.io/token/0xf0c8ba02ec1d22827c98327e29e14ee7bed1cc0f,Etherium,02/06/2021 13:03:16,1000000000000,412,1118,9,New
9,American KISHU,0xa85d6c5814d5dba03570ed0bad510e7d33fecd32,https://etherscan.io/token/0xa85d6c5814d5dba03570ed0bad510e7d33fecd32,Etherium,02/06/2021 13:03:16,1000000000000000,65,347,9,New
10,Ethereum Mango,0x38f08ad16b123d66aaefd5fb857e97f1e2213997,https://etherscan.io/token/0x38f08ad16b123d66aaefd5fb857e97f1e2213997,Etherium,02/06/2021 13:03:16,1000000000000000,6,12,18,New
11,FIFA Ultimate Token,0x31ecdfa78039ce88135902137de160a535c1d2df,https://etherscan.io/token/0x31ecdfa78039ce88135902137de160a535c1d2df,Etherium,02/06/2021 13:03:16,1000000000000000,5,7,9,New
12,Flux Protocol,0x7645ddfeeceda57e41f92679c4acd83c56a81d14,https://etherscan.io/token/0x7645ddfeeceda57e41f92679c4acd83c56a81d14,Etherium,02/06/2021 13:03:16,21000000,9,321,18,New
13,SMSCodes,0x668f7dfb8c8d716839fa5dbea317d8723ebe6110,https://etherscan.io/token/0x668f7dfb8c8d716839fa5dbea317d8723ebe6110,Etherium,02/06/2021 13:03:16,100000000,66,152,0,New
14,Laika Protocol,0x0bffc5692960bb043d3216839bdd6e5e64ff1b4e,https://etherscan.io/token/0x0bffc5692960bb043d3216839bdd6e5e64ff1b4e,Etherium,02/06/2021 13:03:16,1195000873917.559376865,51,239,9,New
