,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,Ethereum 3.0,0x8f73841ad8a1058ea2179998864412077b491f69,https://etherscan.io/token/0x8f73841ad8a1058ea2179998864412077b491f69,Etherium,02/06/2021 17:06:16,100000000000000,78,168,9,New
1,Shiba Candy,0xab00631ed7dace4622898b1ad2a7703a3907e4a8,https://etherscan.io/token/0xab00631ed7dace4622898b1ad2a7703a3907e4a8,Etherium,02/06/2021 17:06:16,1000000000000,175,353,9,New
2,EthereumTrust,0x6960db988708c340d9bd47ea717e9828c022cddd,https://etherscan.io/token/0x6960db988708c340d9bd47ea717e9828c022cddd,Etherium,02/06/2021 17:06:16,100000000000000,85,184,18,New
3,PitDoge Finance,0x48152f12bf80a04f8c5af5336f2453cde0efb850,https://etherscan.io/token/0x48152f12bf80a04f8c5af5336f2453cde0efb850,Etherium,02/06/2021 17:06:16,1000000000000,17,19,18,New
4,Hugo Troll,0x3b20fc68542050c0c360339a38cd348d57548351,https://etherscan.io/token/0x3b20fc68542050c0c360339a38cd348d57548351,Etherium,02/06/2021 17:06:16,1111222233333.444455566668889999,10,29,18,New
5,Nacho Inu,0x171a7a92952238d8d432dd3e29b1d78dc8cfaa31,https://etherscan.io/token/0x171a7a92952238d8d432dd3e29b1d78dc8cfaa31,Etherium,02/06/2021 17:06:16,1000000000000,1,1,9,New
6,Female Inu,0x666c5da7019e3b8d96dfa0622644cdde8ba51ebb,https://etherscan.io/token/0x666c5da7019e3b8d96dfa0622644cdde8ba51ebb,Etherium,02/06/2021 17:06:16,100000000000000,50,104,9,New
7,Nature Boy Inu,0xbf820fbb448c564b456ce376cbfbe341b84d1a58,https://etherscan.io/token/0xbf820fbb448c564b456ce376cbfbe341b84d1a58,Etherium,02/06/2021 17:06:16,100000000000000000,178,605,9,New
8,Rocket Akita,0x9a9c0b657ec41ce2ac7c1448bf9cd75aa01c7249,https://etherscan.io/token/0x9a9c0b657ec41ce2ac7c1448bf9cd75aa01c7249,Etherium,02/06/2021 17:06:16,100000000000000,192,580,9,New
9,Mickey Money,0xfa52a1d5cb8f0a2d366828902a7c9b9c45f65d07,https://etherscan.io/token/0xfa52a1d5cb8f0a2d366828902a7c9b9c45f65d07,Etherium,02/06/2021 17:06:16,10000000000000,20,65,18,New
