,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges,CoinRankUrl
2718,WomenCoin,,,,22/06/2021 00:17:57,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Q3il5fhjEVKlD+womencoin-women
2719,Magnum,,,,22/06/2021 00:17:59,254.50 million,,,N/A,Common,0,0,0,4.50 million,,https://coinranking.com/coin/AAhMcKlmrd5Ps+magnum-mgm
2720,VaultCoin,,,,22/06/2021 00:18:00,1.00 billion,,,N/A,Common,0,0,0,30.39 million,,https://coinranking.com/coin/iHjrJgc68rOtq+vaultcoin-vltc
2721,Save and Gain,,,,22/06/2021 00:18:02,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/5OlyOa9LLVnXk+saveandgain-sandg
2722,mir.one,,,,22/06/2021 00:18:04,10.00 billion,,,N/A,Common,0,0,0,"47,800.00",,https://coinranking.com/coin/dWahYZ96HdIme+mirone-mir
2723,ArgusCoin,,,,22/06/2021 00:18:05,28.60 million,,,N/A,Common,0,0,0,1.15 million,,https://coinranking.com/coin/Qqn5eqMX984kJ+arguscoin-argus
2724,Anarchists Prime,,,,22/06/2021 00:18:07,53.76 million,,,N/A,Common,0,0,0,4.39 million,,https://coinranking.com/coin/XE630iC6Ui8E5+anarchistsprime-acp
2725,Coimatic 3.0,,,,22/06/2021 00:18:08,102.00 million,,,N/A,Common,0,0,0,2.26 million,,https://coinranking.com/coin/R3WPD8BlcpPqq+coimatic30-ctic3
2726,Coupecoin,,,,22/06/2021 00:18:10,8.00 billion,,,N/A,Common,0,0,0,218.28 million,,https://coinranking.com/coin/ZOcZnD3GMgY08+coupecoin-coupe
2727,Coimatic 2.0,,,,22/06/2021 00:18:11,30.13 million,,,N/A,Common,0,0,0,13.53 million,,https://coinranking.com/coin/1fMS7EN_ueAA4+coimatic20-ctic2
2728,GeertCoin,,,,22/06/2021 00:18:12,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/6S2kjtF8vdK9h+geertcoin-geert
2729,BitAsean,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,https://etherscan.io/token/0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,Etherium,22/06/2021 00:18:25,30.00 million,420 (0.00%),2543,N/A,Common,0,0,0,5.00 million,,https://coinranking.com/coin/3H_6iSQRFeMhm+bitasean-bas
2730,Beats,,,,22/06/2021 00:18:27,2.52 million,,,N/A,Common,0,0,0,1.52 million,,https://coinranking.com/coin/H4FVmA-rk6Jr9+beats-xbts
2731,Creva Coin,,,,22/06/2021 00:18:28,6.24 billion,,,N/A,Common,0,0,0,36.39 million,,https://coinranking.com/coin/cZYps-D6zMSU-+crevacoin-creva
2732,Concoin,,,,22/06/2021 00:18:29,1.60 million,,,N/A,Common,0,0,0,"744,266.00",,https://coinranking.com/coin/QFFwoYeGYNxsB+concoin-conx
2733,ZoneCoin,,,,22/06/2021 00:18:31,21.00 million,,,N/A,Common,0,0,0,2.58 million,,https://coinranking.com/coin/0p73csZhWDYgn+zonecoin-zne
2734,PonziCoin,,,,22/06/2021 00:18:33,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/zkGkPLpMJMVzM+ponzicoin-ponzi
2735,GPU Coin,,,,22/06/2021 00:18:34,221.05 million,,,N/A,Common,0,0,0,40.48 million,,https://coinranking.com/coin/TWFpHtZH1qBGk+gpucoin-gpu
2736,OsmiumCoin,,,,22/06/2021 00:18:36,2.71 million,,,N/A,Common,0,0,0,"894,026.00",,https://coinranking.com/coin/O0hXXbDqBr0WJ+osmiumcoin-os76
2737,Interzone,,,,22/06/2021 00:18:37,3.11 million,,,N/A,Common,0,0,0,2.65 million,,https://coinranking.com/coin/UQ86kHYYZOT_g+interzone-itz
2738,PlayerCoin,0x4da2a6d0b300d0fb66d5064fd34479404ca50274,https://etherscan.io/token/0x4da2a6d0b300d0fb66d5064fd34479404ca50274,Etherium,22/06/2021 00:18:48,100.12 million,3,14,N/A,Common,0,0,0,35.12 million,,https://coinranking.com/coin/Z9YoxQjvxCtpj+playercoin-placo
2739,Royal Kingdom Coin,,,,22/06/2021 00:18:49,15.00 million,,,N/A,Common,0,0,0,2.70 million,,https://coinranking.com/coin/12KybJFVsFTfz+royalkingdomcoin-rkc
2740,Pioneer Coin,,,,22/06/2021 00:18:50,3.87 million,,,N/A,Common,0,0,0,2.97 million,,https://coinranking.com/coin/_YfA06_OnJoKZ+pioneercoin-pcoin
2741,ParanoiaCoin,,,,22/06/2021 00:18:52,72.00 million,,,N/A,Common,0,0,0,64.94 million,,https://coinranking.com/coin/WXpwovPJYQYFo+paranoiacoin-para
2742,Wild Beast Coin,,,,22/06/2021 00:18:54,2.63 million,,,N/A,Common,0,0,0,"181,919.00",,https://coinranking.com/coin/7Fcr5UGFq6RYB+wildbeastcoin-wbb
2743,SydPakCoin,,,,22/06/2021 00:18:55,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/IaiOF6z2Ha5Fk+sydpakcoin-sdp
2744,iBankCoin,,,,22/06/2021 00:18:56,44.33 million,,,N/A,Common,0,0,0,4.53 million,,https://coinranking.com/coin/WR_wk7RHvUJ65+ibankcoin-ibank
2745,Arbit Coin,,,,22/06/2021 00:18:57,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/EcpTvuVNiQrqf+arbitcoin-arb
2746,Valorbit,,,,22/06/2021 00:18:58,922.34 trillion,,,N/A,Common,0,0,0,6.11 billion,,https://coinranking.com/coin/0CHEUWreNkMhm+valorbit-val
2747,Cachecoin,,,,22/06/2021 00:19:00,2.00 billion,,,N/A,Common,0,0,0,4.20 million,,https://coinranking.com/coin/g2BqP9TFPEQO5+cachecoin-cach
2748,Zipper,,,,22/06/2021 00:19:02,100.00 billion,,,N/A,Common,0,0,0,50.00 billion,,https://coinranking.com/coin/nQ4IF0o7Ur1N5+zipper-zip
2749,Impulse Coin,,,,22/06/2021 00:19:03,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/LZ_lqN0oQe7V0+impulsecoin-imps
2750,Luna Coin,,,,22/06/2021 00:19:05,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/SzwZg4UAH__zm+lunacoin-luna
2751,BitVolt,,,,22/06/2021 00:19:06,61.61 million,,,N/A,Common,0,0,0,16.59 million,,https://coinranking.com/coin/ty_wa7xHlKXWd+bitvolt-volt
2752,Coinonat,,,,22/06/2021 00:19:08,48.25 million,,,N/A,Common,0,0,0,8.62 million,,https://coinranking.com/coin/lE8byKhKN791G+coinonat-cxt
2753,Bitcoin Planet,,,,22/06/2021 00:19:09,100.00 million,,,N/A,Common,0,0,0,6.80 million,,https://coinranking.com/coin/Kp-Jb-cowRYBZ+bitcoinplanet-btpl
2754,BitQuark,,,,22/06/2021 00:19:11,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/NfJjQz57g2j4_+bitquark-btq
2755,LiteBitcoin,,,,22/06/2021 00:19:13,172.59 million,,,N/A,Common,0,0,0,28.94 million,,https://coinranking.com/coin/eN8rYAI7aNd6V+litebitcoin-lbtc
2756,PoSToken,0xee609fe292128cad03b786dbb9bc2634ccdbe7fc,https://etherscan.io/token/0xee609fe292128cad03b786dbb9bc2634ccdbe7fc,Etherium,22/06/2021 00:19:24,1.25 million,6267 (0.00%),37539,N/A,Common,0,0,0,1.04 million,,https://coinranking.com/coin/P3okKscY1TQ52+postoken-pos
2757,Simmitri,0x7528e3040376edd5db8263db2f5bd1bed91467fb,https://etherscan.io/token/0x7528e3040376edd5db8263db2f5bd1bed91467fb,Etherium,22/06/2021 00:19:35,350.00 million,12754 (0.00%),17793,N/A,Common,0,0,0,"897,653.00",,https://coinranking.com/coin/CP4tKx48TNF79+simmitri-sim
2758,Francs,,,,22/06/2021 00:19:37,20.00 million,,,N/A,Common,0,0,0,3.87 million,,https://coinranking.com/coin/Dzfch37YcB6OD+francs-frn
2759,LiteCoin Ultra,,,,22/06/2021 00:19:38,8.53 million,,,N/A,Common,0,0,0,1.03 million,,https://coinranking.com/coin/uaDnGmV3YSj8x+litecoinultra-ltcu
2760,Neuro,,,,22/06/2021 00:19:40,61.40 million,,,N/A,Common,0,0,0,59.40 million,,https://coinranking.com/coin/64ssgkN10_2gl+neuro-nro
2761,Honey,,,,22/06/2021 00:19:41,7.00 million,,,N/A,Common,0.000000001,0.000327,0,"455,955.00",,https://coinranking.com/coin/XAD8-q7iREFZI+honey-honey
2762,Flaxscript,,,,22/06/2021 00:19:43,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/IzyemVDL2YFf2+flaxscript-flax
2763,BlockCAT,0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,https://etherscan.io/token/0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,Etherium,22/06/2021 00:19:53,9.20 million,4396 (0.00%),30500,N/A,Common,0,0,0,7.36 million,,https://coinranking.com/coin/R30yK4eYHVqQv+blockcat-cat
2764,Roofs,,,,22/06/2021 00:19:55,600.00 million,,,N/A,Common,0,0,0,130.00 million,,https://coinranking.com/coin/bb4qVHuaaBMFe+roofs-roofs
2765,Kronecoin,,,,22/06/2021 00:19:57,84.00 million,,,N/A,Common,0,0,0,10.03 million,,https://coinranking.com/coin/XJsWg9tHvd08u+kronecoin-krone
2766,BitF,,,,22/06/2021 00:19:58,7.52 million,,,N/A,Common,0,0,0,1.06 million,,https://coinranking.com/coin/723ykbGK78wVj+bitf-bitf
2767,BitCoal,,,,22/06/2021 00:20:00,0,,,N/A,Common,0.00635,0,"12,948",0,"ProBit,TradeOgre",https://coinranking.com/coin/U_9dgi-pnfPeR+bitcoal-coal
2768,Elysium,,,,22/06/2021 00:20:02,18.00 million,,,N/A,Common,0,0,0,13.69 million,,https://coinranking.com/coin/Mf5C_0dEIjrhM+elysium-els
2769,Visio,,,,22/06/2021 00:20:04,63.30 million,,,N/A,Common,0,0,0,51.30 million,,https://coinranking.com/coin/vp8hYjbbVIa1a+visio-visio
2770,Veltor,,,,22/06/2021 00:20:05,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/6QnOKtkSEKMf_+veltor-vlt
2771,Asiadigicoin,,,,22/06/2021 00:20:07,42.00 million,,,N/A,Common,0,0,0,24.93 million,,https://coinranking.com/coin/qdz0KkimSVU4i+asiadigicoin-adcn
2772,MiloCoin,,,,22/06/2021 00:20:09,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/XLt3PUmYV2IxW+milocoin-milo
2773,CabbageUnit,,,,22/06/2021 00:20:10,10.50 million,,,N/A,Common,0,0,0,10.50 million,,https://coinranking.com/coin/NrE_-3gRXHcG3+cabbageunit-cab
2774,OrlyCoin,,,,22/06/2021 00:20:13,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/yGzt5_LWw6PGW+orlycoin-orly
2775,Song Coin,,,,22/06/2021 00:20:14,210.24 million,,,N/A,Common,0,0,0,32.57 million,,https://coinranking.com/coin/7OfIourjFf0Z9+songcoin-song
2776,Stash,,,,22/06/2021 00:20:16,252.69 million,,,N/A,Common,0,0,0,252.69 million,,https://coinranking.com/coin/HCYLQPM4fUrR1+stash-stpx
2777,Enigma,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,https://etherscan.io/token/0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,Etherium,22/06/2021 00:20:27,150.00 million,10945 (0.00%),194161,N/A,Common,0,0,0,74.84 million,,https://coinranking.com/coin/mqB_ZkSWXIKst+enigma-xng
2778,SpeedCash,0x81995ff7aee5c780192b47e0b42a7a86692d1415,https://etherscan.io/token/0x81995ff7aee5c780192b47e0b42a7a86692d1415,Etherium,22/06/2021 00:20:38,"587,545.00",29,39,N/A,Common,0,0,0,"574,745.00",,https://coinranking.com/coin/cl1YihYkuwRDt+speedcash-scs
2779,Pulse,,,,22/06/2021 00:20:39,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/ND4oYYxzYP5S2+pulse-pulse
2780,MustangCoin,,,,22/06/2021 00:20:41,3.00 million,,,N/A,Common,0,0,0,"630,343.00",,https://coinranking.com/coin/OwIzuGK7gy-Mf+mustangcoin-mst
2781,MarijuanaCoin,,,,22/06/2021 00:20:42,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/MKnMwKlWigoT-+marijuanacoin-mar
2782,Phantomx,,,,22/06/2021 00:20:43,0,,,N/A,Common,0.000617,0,0.2208,0,SouthXchange,https://coinranking.com/coin/bDWhyEiW1r1vN+phantomx-pnx
2783,JobsCoin,,,,22/06/2021 00:20:45,20.00 billion,,,N/A,Common,0,0,0,106.02 million,,https://coinranking.com/coin/qLLncyQaD1C0b+jobscoin-jobs
2784,Icobid,,,,22/06/2021 00:20:47,200.00 million,,,N/A,Common,0,0,0,107.05 million,,https://coinranking.com/coin/sNIezI-FMKpg_+icobid-icob
2785,Iconic,,,,22/06/2021 00:20:48,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/wGVhVQhn4dZNW+iconic-icon
2786,WarpCoin,,,,22/06/2021 00:20:50,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/JUOhkTI8EFK6J+warpcoin-warp
2787,BnrtxCoin,,,,22/06/2021 00:20:51,210.00 million,,,N/A,Common,0,0,0,34.77 million,,https://coinranking.com/coin/jvMCQ8gjx5phu+bnrtxcoin-bnx
2788,PLNCoin,,,,22/06/2021 00:20:53,38.54 million,,,N/A,Common,0,0,0,17.09 million,,https://coinranking.com/coin/xFrpmMA7JUsZg+plncoin-plnc
2789,MediterraneanCoin,,,,22/06/2021 00:20:55,100.00 million,,,N/A,Common,0,0,0,100.00 million,,https://coinranking.com/coin/4cyBS-be0tjF0+mediterraneancoin-med
2790,LiteCreed,,,,22/06/2021 00:20:56,78.84 million,,,N/A,Common,0,0,0,30.23 million,,https://coinranking.com/coin/C9AI5SlhI3V4T+litecreed-ltcr
2791,Bitair,0x02725836ebf3ecdb1cdf1c7b02fcbbfaa2736af8,https://etherscan.io/token/0x02725836ebf3ecdb1cdf1c7b02fcbbfaa2736af8,Etherium,22/06/2021 00:21:06,1.00 billion,3965,14957,N/A,Common,0,0,0,700.00 million,,https://coinranking.com/coin/o5yjWpHHgcEWy+bitair-btca
2792,SoMee.Social,,,,22/06/2021 00:21:07,249.39 million,,,N/A,Common,0,0,0,191.34 million,,https://coinranking.com/coin/kABYSufCjugNg+someesocial-ong
2793,CompuCoin,,,,22/06/2021 00:21:09,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/7KR8E5cnM_a9z+compucoin-cpn
2794,PosEx,,,,22/06/2021 00:21:11,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/SR6pQTGWFEFTN+posex-pex
2795,Californium,,,,22/06/2021 00:21:12,2.52 million,,,N/A,Common,0,0,0,2.45 million,,https://coinranking.com/coin/NWta9-6mtW0yR+californium-cf
2796,ZayedCoin,,,,22/06/2021 00:21:14,9.74 million,,,N/A,Common,0,0,0,6.24 million,,https://coinranking.com/coin/ApPZCBZgpB7jD+zayedcoin-zyd
2797,BenjiRolls,,,,22/06/2021 00:21:15,35.52 million,,,N/A,Common,0,0,0,20.28 million,,https://coinranking.com/coin/l1d1K4x7Mddev+benjirolls-benji
2798,Independent Money System,,,,22/06/2021 00:21:17,21.21 million,,,N/A,Common,0,0,0,5.37 million,,https://coinranking.com/coin/_kGKte3OYSbl6+independentmoneysystem-ims
2799,Prime-X1,,,,22/06/2021 00:21:19,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Ucz2IjiHfRXSO+prime-x1-pxi
2800,Dalecoin,0x07d9e49ea402194bf48a8276dafb16e4ed633317,https://etherscan.io/token/0x07d9e49ea402194bf48a8276dafb16e4ed633317,Etherium,22/06/2021 00:21:29,1.00 million,791 (0.00%),9909,N/A,Common,0,0,0,"569,554.00",,https://coinranking.com/coin/Rs5jekPfOq1Zj+dalecoin-dalc
2801,Cannation,,,,22/06/2021 00:21:31,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/ALmBPt1BpGDps+cannation-cnnc
2802,Useless Ethereum Token,,,,22/06/2021 00:21:32,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/eV5xdPvxlVdLa+uselessethereumtoken-uet
2803,Persistent Information Exchange,,,,22/06/2021 00:21:34,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/ko-lxgXAR5oUQ+persistentinformationexchange-pie
2804,Allion,,,,22/06/2021 00:21:35,7.32 million,,,N/A,Common,0,0,0,6.20 million,,https://coinranking.com/coin/GD8peSe6s6Ial+allion-all
2805,SocialCoin,,,,22/06/2021 00:21:37,75.00 million,,,N/A,Common,0,0,0,4.48 million,,https://coinranking.com/coin/1YoRQ8h5ySp1G+socialcoin-socc
2806,StarCash Network,,,,22/06/2021 00:21:38,1.03 million,,,N/A,Common,0,0,0,"959,914.00",,https://coinranking.com/coin/dKjc9OKPa0lBa+starcashnetwork-stars
2807,VirtaCoin,,,,22/06/2021 00:21:40,21.00 billion,,,N/A,Common,0,0,0,5.20 billion,,https://coinranking.com/coin/dowf9b9jPcKfQ+virtacoin-vta
2808,VirtacoinPlus,,,,22/06/2021 00:21:41,100.00 million,,,N/A,Common,0,0,0,10.93 million,,https://coinranking.com/coin/x11oR7ZmLgM3M+virtacoinplus-xvp
2809,People,,,,22/06/2021 00:21:43,7.50 billion,,,N/A,Common,0,0,0,150.00 million,,https://coinranking.com/coin/xMdJC_-3LyrwS+people-man
2810,Eurocoin,,,,22/06/2021 00:21:44,20.00 million,,,N/A,Common,0,0,0,12.42 million,,https://coinranking.com/coin/dz1NiQslNRdjX+eurocoin-euc
2811,BROTHER,,,,22/06/2021 00:21:46,1.00 billion,,,N/A,Common,0,0,0,160.00 million,,https://coinranking.com/coin/9M3a10b02czug+brother-brat
2812,SoonCoin,,,,22/06/2021 00:21:47,21.00 million,,,N/A,Common,0,0,0,12.46 million,,https://coinranking.com/coin/e569CBhykGgir+sooncoin-soon
2813,Rhenium,,,,22/06/2021 00:21:49,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/nM1xvKBboTV4o+rhenium-xrh
2814,SoilCoin,,,,22/06/2021 00:21:50,30.00 million,,,N/A,Common,0,0,0,5.70 million,,https://coinranking.com/coin/wLIWaCuekqZg4+soilcoin-soil
2815,GoldPieces,,,,22/06/2021 00:21:52,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/-LZnXC-BgN_ik+goldpieces-gp
2816,Sativa Coin,,,,22/06/2021 00:21:53,10.00 million,,,N/A,Common,0,0,0,7.10 million,,https://coinranking.com/coin/C4nkBZdb0fbCN+sativacoin-stv
2817,Money,,,,22/06/2021 00:21:55,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/uxohBJTJ2-g4D+money-
2818,ExchangeN,0x0766e79a6fd74469733e8330b3b461c0320ff059,https://etherscan.io/token/0x0766e79a6fd74469733e8330b3b461c0320ff059,Etherium,22/06/2021 00:22:04,10.00 million,1975,4085,N/A,Common,0,0,0,5.10 million,,https://coinranking.com/coin/2bVLr1pKNIW4B+exchangen-exn
2819,LeaCoin,,,,22/06/2021 00:22:06,2.00 billion,,,N/A,Common,0,0,0,405.26 million,,https://coinranking.com/coin/8uRu8_OMaFnP6+leacoin-lea
2820,Spots,,,,22/06/2021 00:22:08,100.00 million,,,N/A,Common,0,0,0,22.41 million,,https://coinranking.com/coin/QWkkq_hRE1qFb+spots-spt
2821,Mojocoin,,,,22/06/2021 00:22:10,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/GY1kl6zZinbbm+mojocoin-mojo
2822,Fuzzballs,,,,22/06/2021 00:22:11,21.00 million,,,N/A,Common,0,0,0,4.83 million,,https://coinranking.com/coin/xiswZ_0HD2PYA+fuzzballs-fuzz
2823,Theresa May Coin,,,,22/06/2021 00:22:13,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/3N1F56X6EmrIP+theresamaycoin-may
2824,Eryllium,,,,22/06/2021 00:22:14,100.00 million,,,N/A,Common,0,0,0,13.26 million,,https://coinranking.com/coin/-8uHP1AO4cV42+eryllium-ery
2825,Plancoin,,,,22/06/2021 00:22:16,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Ury2oECRslJ-c+plancoin-plan
2826,DACH Coin,,,,22/06/2021 00:22:17,6.08 million,,,N/A,Common,0,0,0,6.08 million,,https://coinranking.com/coin/jsf3hqHZi3QhR+dachcoin-dach
2827,Eternity,,,,22/06/2021 00:22:19,60.00 million,,,N/A,Common,0,0,0,4.81 million,,https://coinranking.com/coin/k8hqGz_SonfEl+eternity-ent
2828,ACoin,,,,22/06/2021 00:22:21,1.60 million,,,N/A,Common,0,0,0,1.22 million,,https://coinranking.com/coin/3SaVXBXUwaiVJ+acoin-acoin
2829,BOAT,,,,22/06/2021 00:22:22,500.00 million,,,N/A,Common,0,0,0,71.95 million,,https://coinranking.com/coin/CNUUsT2BUBV99+boat-boat
2830,ACRE,,,,22/06/2021 00:22:23,3.96 million,,,N/A,Common,0,0,0,3.83 million,,https://coinranking.com/coin/GmKf50YmvU1wR+acre-acre
2831,LUCRE,,,,22/06/2021 00:22:25,11.16 million,,,N/A,Common,0,0,0,11.16 million,,https://coinranking.com/coin/lUaSbmT1pkm3+lucre-lcrt
2832,Fujinto,0x8a99ed8a1b204903ee46e733f2c1286f6d20b177,https://etherscan.io/token/0x8a99ed8a1b204903ee46e733f2c1286f6d20b177,Etherium,22/06/2021 00:22:36,400.00 million,1320 (0.00%),7432,N/A,Common,0,0,0,65.80 million,,https://coinranking.com/coin/A9xbrkqzYZBNF+fujinto-nto
2833,Dragonglass,0x6aedbf8dff31437220df351950ba2a3362168d1b,https://etherscan.io/token/0x6aedbf8dff31437220df351950ba2a3362168d1b,Etherium,22/06/2021 00:22:47,1.50 billion,881 (0.00%),12950,N/A,Common,0,0,0,402.67 million,,https://coinranking.com/coin/vzvUNlJRxvEBr+dragonglass-dgs
2834,BumbaCoin,,,,22/06/2021 00:22:49,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/stKyYDQ3VkZV3+bumbacoin-bumba
2835,Help The Homeless Coin,,,,22/06/2021 00:22:50,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/BXcKfwwzhRwxK+helpthehomelesscoin-hth
2836,SwingCoin,,,,22/06/2021 00:22:52,40.00 million,,,N/A,Common,0,0,0,3.74 million,,https://coinranking.com/coin/6ZFFxjSIFJU2B+swingcoin-swing
2837,High Voltage Coin,,,,22/06/2021 00:22:53,1.70 million,,,N/A,Common,0,0,0,1.49 million,,https://coinranking.com/coin/0aNbv0D-qvToz+highvoltagecoin-hvco
2838,XCoin,,,,22/06/2021 00:22:54,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/aYvrIfLlpy56w+xcoin-xco
2839,8BIT Coin,,,,22/06/2021 00:22:56,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/tiAHOtUfyLd4P+8bitcoin-8bit
2840,DFSCoin,,,,22/06/2021 00:22:58,46.15 million,,,N/A,Common,0,0,0,17.71 million,,https://coinranking.com/coin/8I52Cs7L1qqvK+dfscoin-dfs
2841,Graphcoin,,,,22/06/2021 00:22:59,5.00 million,,,N/A,Common,0,0,0,"385,302.00",,https://coinranking.com/coin/QGbLGYIeW8jMf+graphcoin-grph
2842,VapersCoin,,,,22/06/2021 00:23:01,42.75 billion,,,N/A,Common,0,0,0,780.12 million,,https://coinranking.com/coin/GV4ao94oWtx2G+vaperscoin-vprc
2843,Anti Bitcoin,,,,22/06/2021 00:23:02,42.00 million,,,N/A,Common,0,0,0,17.47 million,,https://coinranking.com/coin/KVKTs0q-269k6+antibitcoin-anti
2844,Zoomba,,,,22/06/2021 00:23:04,8.36 million,,,N/A,Common,0,0,0,7.63 million,,https://coinranking.com/coin/6BPVK7Dpb6Lsh+zoomba-zba
2845,Bolenum,0x0C658Fa2eAA292E8dcA085Dab0E5CBD2da21C494,https://etherscan.io/token/0x0C658Fa2eAA292E8dcA085Dab0E5CBD2da21C494,Etherium,22/06/2021 00:23:16,0,483 (0.00%),3176,N/A,Common,0,0,0,0,,https://coinranking.com/coin/4lpAqFi7ELGdy+bolenum-bln
2846,SixEleven,,,,22/06/2021 00:23:18,"611,000.00",,,N/A,Common,0,0,0,"461,453.00",,https://coinranking.com/coin/EpBn6S3dbCsH2+sixeleven-611
2847,RonPaulCoin,,,,22/06/2021 00:23:20,21.00 million,,,N/A,Common,0,0,0,1.00 million,,https://coinranking.com/coin/-NNTnaA3iiidm+ronpaulcoin-rpc
2848,FREE,,,,22/06/2021 00:23:22,100.00 million,,,N/A,Common,0,0,0,100.00 million,,https://coinranking.com/coin/WHj7zBu9dy3Y+free-fr
2849,BERNcash,,,,22/06/2021 00:23:24,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/RkVIxnTWdXQj2+berncash-bern
2850,AmberCoin,,,,22/06/2021 00:23:26,1.00 billion,,,N/A,Common,0,0,0,43.70 million,,https://coinranking.com/coin/i2CNtaFTbTPoB+ambercoin-amber
2851,Influxcoin,,,,22/06/2021 00:23:27,12.00 million,,,N/A,Common,0,0,0,1.67 million,,https://coinranking.com/coin/DP62zqUUEKzMa+influxcoin-infx
2852,Master Swiscoin,,,,22/06/2021 00:23:29,1.01 billion,,,N/A,Common,0,0,0,45.14 million,,https://coinranking.com/coin/WHcF0LNAKwE5D+masterswiscoin-mscn
2853,Steneum Coin,,,,22/06/2021 00:23:30,6.08 million,,,N/A,Common,0,0,0,2.93 million,,https://coinranking.com/coin/QoPkKBIFbWztp+steneumcoin-stn
2854,Bitcoin 21,,,,22/06/2021 00:23:31,7.09 million,,,N/A,Common,0,0,0,"793,108.00",,https://coinranking.com/coin/Ws4LbIpO3ADga+bitcoin21-xbtc21
2855,GlobalBoost-Y,,,,22/06/2021 00:23:33,0,,,N/A,Common,0.02916,0,280.68,0,"ProBit,Dove Wallet,Graviex",https://coinranking.com/coin/0ltXI_jLXJRuS+globalboost-y-bsty
2856,MCAP,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,https://etherscan.io/token/0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,Etherium,22/06/2021 00:23:44,100.00 million,20886 (0.00%),770301,N/A,Common,0,0,0,10.49 million,,https://coinranking.com/coin/d0rCjleEt7Zax+mcap-mcap
2857,ParkByte,,,,22/06/2021 00:23:45,25.00 million,,,N/A,Common,0,0,0,4.76 million,,https://coinranking.com/coin/wcfJyCWR0YO3U+parkbyte-pkb
2858,Signatum,,,,22/06/2021 00:23:47,137.50 million,,,N/A,Common,0,0,0,107.97 million,,https://coinranking.com/coin/-3jgW3Zy4-RqO+signatum-sigt
2859,Safe Trade Coin,,,,22/06/2021 00:23:48,719.96 million,,,N/A,Common,0,0,0,326.83 million,,https://coinranking.com/coin/-o4Eq6OemoaB7+safetradecoin-xstc
2860,SecureCoin,,,,22/06/2021 00:23:50,21.00 million,,,N/A,Common,0,0,0,9.47 million,,https://coinranking.com/coin/59ho4Qnl28yn8+securecoin-src
2861,InPay,,,,22/06/2021 00:23:51,9.99 million,,,N/A,Common,0,0,0,9.99 million,,https://coinranking.com/coin/-JIi4Zli5xM4n+inpay-inpay
2862,300 Token,,,,22/06/2021 00:23:52,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/ftumuKk6WVn43+300token-300
2863,EvilCoin,,,,22/06/2021 00:23:54,21.02 million,,,N/A,Common,0,0,0,21.02 million,,https://coinranking.com/coin/ywmuWkUm7vn3j+evilcoin-evil
