,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,Vibrator,0xd74d945790509015e9b129cf16342ca4494fcc28,https://etherscan.io/token/0xd74d945790509015e9b129cf16342ca4494fcc28,Etherium,21/06/2021 17:43:17,1000000000000,556,1405,9,New
1,Sion,0xe8d1efd0c95011298e9a30143a0182c06b45ff5d,https://etherscan.io/token/0xe8d1efd0c95011298e9a30143a0182c06b45ff5d,Etherium,21/06/2021 17:43:17,1000000000000,297 ( 79.798%),489,9,New
2,BZZ,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,https://etherscan.io/token/0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,Etherium,21/06/2021 17:43:17,70460644.1295482762195489,3820 ( 99.947%),9676,16,New
3,ROSA,0x17d1823bd5e96e76e822ab42b61d348302e072d5,https://etherscan.io/token/0x17d1823bd5e96e76e822ab42b61d348302e072d5,Etherium,21/06/2021 17:43:17,2000000,1 (0.00%),1,18,New
4,AKB48_Finance,0x7d8a133b3fdda2bdc340b6402943110dae3f299e,https://etherscan.io/token/0x7d8a133b3fdda2bdc340b6402943110dae3f299e,Etherium,21/06/2021 17:43:17,1000000000000,79,309,9,New
5,Official Mars Token,0x4e30910845f0cb4f66781b35c832eafc09774022,https://etherscan.io/token/0x4e30910845f0cb4f66781b35c832eafc09774022,Etherium,21/06/2021 17:43:17,5000000000000,22,95,18,New
6,ePlatinum,0x57b3140f522a3ef2f98c046f78e0d03075908591,https://etherscan.io/token/0x57b3140f522a3ef2f98c046f78e0d03075908591,Etherium,21/06/2021 17:43:17,3020179529.477236942608207981,166,949,18,New
7,Football Inu,0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,https://etherscan.io/token/0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,Etherium,21/06/2021 17:43:17,1000000000000,1096,3611,9,New
8,Cookie Inu,0x22709596fc3c3f3ad865b5a52f66af156aca32a9,https://etherscan.io/token/0x22709596fc3c3f3ad865b5a52f66af156aca32a9,Etherium,21/06/2021 17:43:17,100000000000000000,26,57,9,New
9,Zet Inu,0xbc130b1cd40c722f54baaa1c92651dd630d73d99,https://etherscan.io/token/0xbc130b1cd40c722f54baaa1c92651dd630d73d99,Etherium,21/06/2021 17:43:17,1000000000000,223,801,9,New
