,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,Moji,0x744f742abbdb64e712ff6fb80c1287190354675c,https://etherscan.io/token/0x744f742abbdb64e712ff6fb80c1287190354675c,Etherium,02/06/2021 01:56:16,1000000000000,2,3,18,New
1,CactusToken,0x5877f64b775b066c7fa655456a8a39a2c27a3f27,https://etherscan.io/token/0x5877f64b775b066c7fa655456a8a39a2c27a3f27,Etherium,02/06/2021 01:56:16,100000000000000,14,19,9,New
2,EthGold,0x9a8d675b57261c2aab618cc0a73dd75116e0db73,https://etherscan.io/token/0x9a8d675b57261c2aab618cc0a73dd75116e0db73,Etherium,02/06/2021 01:56:16,100000000,2,2,9,New
3,SNP Token,0x795dbf627484f8248d3d6c09c309825c1563e873,https://etherscan.io/token/0x795dbf627484f8248d3d6c09c309825c1563e873,Etherium,02/06/2021 01:56:16,369926.547548381151793064,2250 ( -0.044%),71200,18,New
4,xDog Finance,0x6e5f79fbbacbcb8487ee1b110f0255d8b9139c47,https://etherscan.io/token/0x6e5f79fbbacbcb8487ee1b110f0255d8b9139c47,Etherium,02/06/2021 01:56:16,100000000000,11,20,18,New
5,eNFT,0x14af7e1692d68462def1e95e98b0801d7b5f20d4,https://etherscan.io/token/0x14af7e1692d68462def1e95e98b0801d7b5f20d4,Etherium,02/06/2021 01:56:16,500000000,46,52,9,New
6,0x Protocol,0x80b81c6c7278f804e8327d20a18fde170272d3fa,https://etherscan.io/token/0x80b81c6c7278f804e8327d20a18fde170272d3fa,Etherium,02/06/2021 01:56:16,500000000000000,3,7,18,New
7,Diamond Inu,0x51953caebba3f3f249f63d8949d8c4d60564b5b5,https://etherscan.io/token/0x51953caebba3f3f249f63d8949d8c4d60564b5b5,Etherium,02/06/2021 01:56:16,5000000000,22,28,18,New
8,Keshi Inu,0x0b55bfec20f3c4d01995e956c9c63ff29ba81bf0,https://etherscan.io/token/0x0b55bfec20f3c4d01995e956c9c63ff29ba81bf0,Etherium,02/06/2021 01:56:16,100000000000000,6,9,18,New
9,Ethereum KOJI,0x64a20352f977898b63dbc893d13dd26be654851a,https://etherscan.io/token/0x64a20352f977898b63dbc893d13dd26be654851a,Etherium,02/06/2021 01:56:16,1000000000000000,8,10,18,New
10,Ethereum PUMP,0x26eea8b05001cc341e96a4e1f306c8cf9e37a33b,https://etherscan.io/token/0x26eea8b05001cc341e96a4e1f306c8cf9e37a33b,Etherium,02/06/2021 01:56:16,1000000000000,17,62,9,New
11,EthanolShiba,0xdada46cd19bf7119863aa9d1041e5c15f23bb9ba,https://etherscan.io/token/0xdada46cd19bf7119863aa9d1041e5c15f23bb9ba,Etherium,02/06/2021 01:56:16,1000000000000000,14,22,18,New
12,Legless Captain Tsubasa,0xaf44786a03b31309bc53a81164428f5f76f4ef5b,https://etherscan.io/token/0xaf44786a03b31309bc53a81164428f5f76f4ef5b,Etherium,02/06/2021 01:56:16,100000000000000000,103,355,9,New
13,Ethereum Charizard,0x6e42a6748f5ec8b5b22af1ddc67101381be13c3f,https://etherscan.io/token/0x6e42a6748f5ec8b5b22af1ddc67101381be13c3f,Etherium,02/06/2021 01:56:16,1000000000000,112,402,9,New
14,Meowth,0x41c2f170f3f1b2c9a66edec1e61069fd67edd413,https://etherscan.io/token/0x41c2f170f3f1b2c9a66edec1e61069fd67edd413,Etherium,02/06/2021 01:56:16,100000000000000,20,35,9,New
15,Ethereum Maxi,0x851bbf02ee2171d7ec1d45c35f33ee6e2985e2d9,https://etherscan.io/token/0x851bbf02ee2171d7ec1d45c35f33ee6e2985e2d9,Etherium,02/06/2021 01:56:16,100000000000000,151,395,9,New
16,Bitcoin Max,0x51bcf4ecf2761e44175d201a20ac7e946e3c4cbd,https://etherscan.io/token/0x51bcf4ecf2761e44175d201a20ac7e946e3c4cbd,Etherium,02/06/2021 01:56:16,21000000000,257,1236,9,New
17,Spaghettinuð,0xa1fc6d28b2fc00ff0ff93b2da3f2b3c8ae85ad64,https://etherscan.io/token/0xa1fc6d28b2fc00ff0ff93b2da3f2b3c8ae85ad64,Etherium,02/06/2021 01:56:16,1000000000000,488,1605,9,New
18,Nuggets Swap,0x7532476ad7f174f8115947a341c16c681cf9088a,https://etherscan.io/token/0x7532476ad7f174f8115947a341c16c681cf9088a,Etherium,02/06/2021 01:56:16,5000000000,7,15,18,New
19,CyclopDoge,0xe3859fa2628c47bdd410172a6177fe7c7808cc83,https://etherscan.io/token/0xe3859fa2628c47bdd410172a6177fe7c7808cc83,Etherium,02/06/2021 01:56:16,1000000000000000,7,35,18,New
20,Baby Doge Coin,0xc3b8769b3b17924bf0b6117d387063ceca2e35dc,https://etherscan.io/token/0xc3b8769b3b17924bf0b6117d387063ceca2e35dc,Etherium,02/06/2021 01:56:16,1000000000000000,7,20,18,New
21,Ethereum Rainchu (raichucoin.com),0xe0ee657a6cfbee395ac621f3cd3c57b7b36f781f,https://etherscan.io/token/0xe0ee657a6cfbee395ac621f3cd3c57b7b36f781f,Etherium,02/06/2021 01:56:16,1000000000000,1,1,9,New
22,Ethereum Ultra Max,0xd2c5581ff3e9fb5e4afe11eb2e58af89039cd219,https://etherscan.io/token/0xd2c5581ff3e9fb5e4afe11eb2e58af89039cd219,Etherium,02/06/2021 01:56:16,500000000,6,6,9,New
23,Ethereum String,0x8eb2d5cefe51a319c846e5eb8fad5faa93922f5e,https://etherscan.io/token/0x8eb2d5cefe51a319c846e5eb8fad5faa93922f5e,Etherium,02/06/2021 01:56:16,1000000000000000,30,56,18,New
24,Ethereum Ultra Max,0x3f18f5d87826b249d022e0215fb500f8992e72a6,https://etherscan.io/token/0x3f18f5d87826b249d022e0215fb500f8992e72a6,Etherium,02/06/2021 01:56:16,100000000000000,258,1298,9,New
25,Ethereum Raichu (raichucoin.com),0x0c5a7d3244ec293afae46ad5036301fb2a84d00e,https://etherscan.io/token/0x0c5a7d3244ec293afae46ad5036301fb2a84d00e,Etherium,02/06/2021 01:56:16,1000000000000,272,1064,9,New
26,ETH Marketplace,0x1307a1fd102526257466599c5d42024dd72b300b,https://etherscan.io/token/0x1307a1fd102526257466599c5d42024dd72b300b,Etherium,02/06/2021 01:56:16,10000000000002,13,19,18,New
27,EthereumShiba,0xa475d9e167e9ad9aa4bf7ae4e00bfce3a60d397e,https://etherscan.io/token/0xa475d9e167e9ad9aa4bf7ae4e00bfce3a60d397e,Etherium,02/06/2021 01:56:16,1000000000000,23,24,18,New
28,ETH ONE,0x34ee6500e9c309a5845b5e145e17cc76d2a65662,https://etherscan.io/token/0x34ee6500e9c309a5845b5e145e17cc76d2a65662,Etherium,02/06/2021 01:56:16,100000000000000,45,80,9,New
29,Vinyl,0xc17b6c92bb728259ca2f76c88a4a48ac077587f7,https://etherscan.io/token/0xc17b6c92bb728259ca2f76c88a4a48ac077587f7,Etherium,02/06/2021 01:56:16,5000000,74,165,18,New
