,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,Forever Swap,0xcf841ca09bf31ad0f37a139c948aab2480abcdea,https://etherscan.io/token/0xcf841ca09bf31ad0f37a139c948aab2480abcdea,Etherium,21/06/2021 23:21:17,80000000000000,39,56,5,New
1,Internal Retard Services,0xe65ff9442ffdc9aaec4ef52bd0c664779a51e5d9,https://etherscan.io/token/0xe65ff9442ffdc9aaec4ef52bd0c664779a51e5d9,Etherium,21/06/2021 23:21:17,1000000000000,332,1229,9,New
2,GoldenDog,0x6aa493050427c7af81d38f19fd6b4f5dd3a75e3b,https://etherscan.io/token/0x6aa493050427c7af81d38f19fd6b4f5dd3a75e3b,Etherium,21/06/2021 23:21:17,786520721400,1 (0.00%),1,18,New
3,Vibrator,0xd74d945790509015e9b129cf16342ca4494fcc28,https://etherscan.io/token/0xd74d945790509015e9b129cf16342ca4494fcc28,Etherium,21/06/2021 23:21:17,1000000000000,542,1495,9,New
4,Sion,0xe8d1efd0c95011298e9a30143a0182c06b45ff5d,https://etherscan.io/token/0xe8d1efd0c95011298e9a30143a0182c06b45ff5d,Etherium,21/06/2021 23:21:17,1000000000000,292 ( -0.683%),501,9,New
5,BZZ,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,https://etherscan.io/token/0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,Etherium,21/06/2021 23:21:17,71029541.6490482762198889,5277 ( 9.396%),13394,16,New
6,ROSA,0x17d1823bd5e96e76e822ab42b61d348302e072d5,https://etherscan.io/token/0x17d1823bd5e96e76e822ab42b61d348302e072d5,Etherium,21/06/2021 23:21:17,2000000,1 (0.00%),1,18,New
7,AKB48_Finance,0x7d8a133b3fdda2bdc340b6402943110dae3f299e,https://etherscan.io/token/0x7d8a133b3fdda2bdc340b6402943110dae3f299e,Etherium,21/06/2021 23:21:17,1000000000000,72,329,9,New
8,Official Mars Token,0x4e30910845f0cb4f66781b35c832eafc09774022,https://etherscan.io/token/0x4e30910845f0cb4f66781b35c832eafc09774022,Etherium,21/06/2021 23:21:17,5000000000000,22,95,18,New
9,ePlatinum,0x57b3140f522a3ef2f98c046f78e0d03075908591,https://etherscan.io/token/0x57b3140f522a3ef2f98c046f78e0d03075908591,Etherium,21/06/2021 23:21:17,3019969317.294207755460222057,186,1037,18,New
10,Football Inu,0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,https://etherscan.io/token/0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,Etherium,21/06/2021 23:21:17,1000000000000,1087,3659,9,New
11,Cookie Inu,0x22709596fc3c3f3ad865b5a52f66af156aca32a9,https://etherscan.io/token/0x22709596fc3c3f3ad865b5a52f66af156aca32a9,Etherium,21/06/2021 23:21:17,100000000000000000,26,57,9,New
12,Zet Inu,0xbc130b1cd40c722f54baaa1c92651dd630d73d99,https://etherscan.io/token/0xbc130b1cd40c722f54baaa1c92651dd630d73d99,Etherium,21/06/2021 23:21:17,1000000000000,319,1061,9,New
13,Nabox,0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,https://etherscan.io/token/0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,Etherium,21/06/2021 23:21:17,21286653149.036859109363312254,248 ( -0.400%),729,18,New
14,Gucci_Inu,0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,https://etherscan.io/token/0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,Etherium,21/06/2021 23:21:17,1000000000000000,2,3,9,New
15,MansionCash,0x4a013d18330880167a2507bc7b2a90bd2c912ec7,https://etherscan.io/token/0x4a013d18330880167a2507bc7b2a90bd2c912ec7,Etherium,21/06/2021 23:21:17,98506129548726.873378506,168,967,9,New
16,Vara  Inu,0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,https://etherscan.io/token/0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,Etherium,21/06/2021 23:21:17,1000000000000000,17,31,18,New
