,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,BitSpawn Token,0xe516d78d784c77d479977be58905b3f2b1111126,https://etherscan.io/token/0xe516d78d784c77d479977be58905b3f2b1111126,Etherium,22/06/2021 03:44:16,1000000000,1799 ( 1.949%),4040,18,New
1,Forever Swap,0xcf841ca09bf31ad0f37a139c948aab2480abcdea,https://etherscan.io/token/0xcf841ca09bf31ad0f37a139c948aab2480abcdea,Etherium,22/06/2021 03:44:16,80000000000000,41,62,5,New
2,Internal Retard Services,0xe65ff9442ffdc9aaec4ef52bd0c664779a51e5d9,https://etherscan.io/token/0xe65ff9442ffdc9aaec4ef52bd0c664779a51e5d9,Etherium,22/06/2021 03:44:16,1000000000000,332,1273,9,New
3,GoldenDog,0x6aa493050427c7af81d38f19fd6b4f5dd3a75e3b,https://etherscan.io/token/0x6aa493050427c7af81d38f19fd6b4f5dd3a75e3b,Etherium,22/06/2021 03:44:16,786520721400,1 (0.00%),1,18,New
4,Vibrator,0xd74d945790509015e9b129cf16342ca4494fcc28,https://etherscan.io/token/0xd74d945790509015e9b129cf16342ca4494fcc28,Etherium,22/06/2021 03:44:16,1000000000000,531,1528,9,New
5,Sion,0xe8d1efd0c95011298e9a30143a0182c06b45ff5d,https://etherscan.io/token/0xe8d1efd0c95011298e9a30143a0182c06b45ff5d,Etherium,22/06/2021 03:44:16,1000000000000,292 ( -0.683%),526,9,New
6,BZZ,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,https://etherscan.io/token/0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,Etherium,22/06/2021 03:44:16,71413897.4027395237446413,7220 ( 38.480%),18852,16,New
7,ROSA,0x17d1823bd5e96e76e822ab42b61d348302e072d5,https://etherscan.io/token/0x17d1823bd5e96e76e822ab42b61d348302e072d5,Etherium,22/06/2021 03:44:16,2000000,1 (0.00%),1,18,New
8,AKB48_Finance,0x7d8a133b3fdda2bdc340b6402943110dae3f299e,https://etherscan.io/token/0x7d8a133b3fdda2bdc340b6402943110dae3f299e,Etherium,22/06/2021 03:44:16,1000000000000,71,331,9,New
9,Official Mars Token,0x4e30910845f0cb4f66781b35c832eafc09774022,https://etherscan.io/token/0x4e30910845f0cb4f66781b35c832eafc09774022,Etherium,22/06/2021 03:44:16,5000000000000,22,95,18,New
10,ePlatinum,0x57b3140f522a3ef2f98c046f78e0d03075908591,https://etherscan.io/token/0x57b3140f522a3ef2f98c046f78e0d03075908591,Etherium,22/06/2021 03:44:16,3019446415.356295418496831896,207,1139,18,New
11,Football Inu,0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,https://etherscan.io/token/0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,Etherium,22/06/2021 03:44:16,1000000000000,1118,3764,9,New
12,Cookie Inu,0x22709596fc3c3f3ad865b5a52f66af156aca32a9,https://etherscan.io/token/0x22709596fc3c3f3ad865b5a52f66af156aca32a9,Etherium,22/06/2021 03:44:16,100000000000000000,26,57,9,New
13,Zet Inu,0xbc130b1cd40c722f54baaa1c92651dd630d73d99,https://etherscan.io/token/0xbc130b1cd40c722f54baaa1c92651dd630d73d99,Etherium,22/06/2021 03:44:16,1000000000000,311,1160,9,New
14,Nabox,0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,https://etherscan.io/token/0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,Etherium,22/06/2021 03:44:16,20917639270.665092820760508185,246 ( -1.619%),748,18,New
15,Gucci_Inu,0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,https://etherscan.io/token/0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,Etherium,22/06/2021 03:44:16,1000000000000000,2,3,9,New
16,MansionCash,0x4a013d18330880167a2507bc7b2a90bd2c912ec7,https://etherscan.io/token/0x4a013d18330880167a2507bc7b2a90bd2c912ec7,Etherium,22/06/2021 03:44:16,98506129548726.873378506,168,967,9,New
17,Vara  Inu,0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,https://etherscan.io/token/0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,Etherium,22/06/2021 03:44:16,1000000000000000,17,31,18,New
18,Be Loaded Finance,0xa1b6fc4f2ab4e41c49e92121dc3a1ebc7549b695,https://etherscan.io/token/0xa1b6fc4f2ab4e41c49e92121dc3a1ebc7549b695,Etherium,22/06/2021 03:44:16,1000000000,33,47,18,New
19,Rolar  Inu,0x31925997851d0516f3d603150b2ee00b41ba899c,https://etherscan.io/token/0x31925997851d0516f3d603150b2ee00b41ba899c,Etherium,22/06/2021 03:44:16,1000000000000000,14,22,18,New
20,Rising Inu,0x23a76287b0a1f96d2409dacd35d1cdc5d90d7b1d,https://etherscan.io/token/0x23a76287b0a1f96d2409dacd35d1cdc5d90d7b1d,Etherium,22/06/2021 03:44:16,200000000000000,7,13,5,New
21,PolkaDoge,0x339a112b5919bcf5311cda0fe176cc69b67008cc,https://etherscan.io/token/0x339a112b5919bcf5311cda0fe176cc69b67008cc,Etherium,22/06/2021 03:44:16,1000000000000000,43 ( -2.326%),105,9,New
22,DUMB Token,0xbc2878faa8a634ab92b1e8194cca9a88db52e8df,https://etherscan.io/token/0xbc2878faa8a634ab92b1e8194cca9a88db52e8df,Etherium,22/06/2021 03:44:16,123456789,13,17,18,New
23,Ever Rising Inu,0xe0fe35312c8c8a2d5a70bd594ec8e6335f6b45dd,https://etherscan.io/token/0xe0fe35312c8c8a2d5a70bd594ec8e6335f6b45dd,Etherium,22/06/2021 03:44:16,500000000000000,82,178,5,New
24,Hishu Inu Finance,0x89c58d698066c84caede98640fcd1ed01d74fe50,https://etherscan.io/token/0x89c58d698066c84caede98640fcd1ed01d74fe50,Etherium,22/06/2021 03:44:16,1000000000000000,53,83,9,New
25,EtherDog,0x253d91dd6ea22d0d50220fd84ccba14047e5e644,https://etherscan.io/token/0x253d91dd6ea22d0d50220fd84ccba14047e5e644,Etherium,22/06/2021 03:44:16,1000000000000000,32,51,9,New
26,Konomi Inu,0x1ddc2516f7799710507c09a0df244f94bf04c285,https://etherscan.io/token/0x1ddc2516f7799710507c09a0df244f94bf04c285,Etherium,22/06/2021 03:44:16,1000000000000,4,6,18,New
27,SuperAidi Inu,0x161eeb1463b26dd81f07e94076f2175dd3be052a,https://etherscan.io/token/0x161eeb1463b26dd81f07e94076f2175dd3be052a,Etherium,22/06/2021 03:44:16,1000000000000,97,125,18,New
28,Quilboar Coin,0xd5ba1b7a104ac7623463d41fa9f1303c944ba30d,https://etherscan.io/token/0xd5ba1b7a104ac7623463d41fa9f1303c944ba30d,Etherium,22/06/2021 03:44:16,50000000000,21,25,18,New
29,Thunder Finance,0x4519817b4801c39936d4e5b793cf93eeaf5c6936,https://etherscan.io/token/0x4519817b4801c39936d4e5b793cf93eeaf5c6936,Etherium,22/06/2021 03:44:16,1000000000000000,36,64,9,New
30,Wrapped BCH,0xf7b4d113c5da1c99bdb64ca4b538b92cfc52f3dc,https://etherscan.io/token/0xf7b4d113c5da1c99bdb64ca4b538b92cfc52f3dc,Etherium,22/06/2021 03:44:16,21000000,8,18,18,New
31,EverRiseCoin,0x61548411dfa6e522b7e5b83e1f85291b017312ea,https://etherscan.io/token/0x61548411dfa6e522b7e5b83e1f85291b017312ea,Etherium,22/06/2021 03:44:16,1000000000000000,34,35,18,New
32,BotzCoin,0x4e58c6d34d1e055e8d3943ffb1fed662d0aa9c10,https://etherscan.io/token/0x4e58c6d34d1e055e8d3943ffb1fed662d0aa9c10,Etherium,22/06/2021 03:44:16,999999999999999,9,28,18,New
33,Ape Finance ð¦,0xefb0e363fec9e04999a9b8803421d27765258ffd,https://etherscan.io/token/0xefb0e363fec9e04999a9b8803421d27765258ffd,Etherium,22/06/2021 03:44:16,1000000000000000,65,387,9,New
34,eHODL,0xcccdb294b52fc00051bf694fc798efee33bc0358,https://etherscan.io/token/0xcccdb294b52fc00051bf694fc798efee33bc0358,Etherium,22/06/2021 03:44:16,1000000000000,11,13,18,New
35,Phoenix Token,0x2c621e8f188fc0fcce5d0307c83e9c4dcfd3c08c,https://etherscan.io/token/0x2c621e8f188fc0fcce5d0307c83e9c4dcfd3c08c,Etherium,22/06/2021 03:44:16,50000000000,38,45,18,New
36,SafeBear,0x281fbb8cf9e988953237ea4db8b9e255f28ac703,https://etherscan.io/token/0x281fbb8cf9e988953237ea4db8b9e255f28ac703,Etherium,22/06/2021 03:44:16,1000000000000,6,8,18,New
37,Hungry Kitty ð±ð£,0x3d62c922d586ffdc0e7cd15a46ab8785b15b997d,https://etherscan.io/token/0x3d62c922d586ffdc0e7cd15a46ab8785b15b997d,Etherium,22/06/2021 03:44:16,100000000000000000,190,548,9,New
38,ForeverUp,0x81afa8aca19d5693883b0b1e10ae1ccaf2f42781,https://etherscan.io/token/0x81afa8aca19d5693883b0b1e10ae1ccaf2f42781,Etherium,22/06/2021 03:44:16,1000000000000,1326,4916,9,New
39,100x,0x368f1896be0b38d4d56a4e9053a31cf5b7382f0b,https://etherscan.io/token/0x368f1896be0b38d4d56a4e9053a31cf5b7382f0b,Etherium,22/06/2021 03:44:16,100000000000000000,10,24,9,New
40,DogCatcher,0xa940d2ee07197c4d5687f45b1defe8a9c4d509f1,https://etherscan.io/token/0xa940d2ee07197c4d5687f45b1defe8a9c4d509f1,Etherium,22/06/2021 03:44:16,199999999999999.9983,79,357,18,New
41,Fat Cow,0xde4ef1b4826a1310d1a32ff35b94e3cb3e549667,https://etherscan.io/token/0xde4ef1b4826a1310d1a32ff35b94e3cb3e549667,Etherium,22/06/2021 03:44:16,1000000000,33,47,18,New
42,Geisha Token,0x68fc940b9c271e32833c488f91fe81f8f9383ae5,https://etherscan.io/token/0x68fc940b9c271e32833c488f91fe81f8f9383ae5,Etherium,22/06/2021 03:44:16,100000000000000,29,69,9,New
43,North Korea Token,0x61e2588417a835405105771a585a43bc4a41e782,https://etherscan.io/token/0x61e2588417a835405105771a585a43bc4a41e782,Etherium,22/06/2021 03:44:16,28500000000,2,2,18,New
44,ForeverUp,0xadd61ba28f0912f51593d7778309445f2abfd1d7,https://etherscan.io/token/0xadd61ba28f0912f51593d7778309445f2abfd1d7,Etherium,22/06/2021 03:44:16,10000000000000,18,23,18,New
45,MoonKat,0x8fbf4327e01a18ee0a7dddc019a5c0d0f1ced7a2,https://etherscan.io/token/0x8fbf4327e01a18ee0a7dddc019a5c0d0f1ced7a2,Etherium,22/06/2021 03:44:16,1000000000000000,12,13,18,New
46,Atomic Doge,0x76852855f4545aeaa297485b2c76bacbe9d9fdd0,https://etherscan.io/token/0x76852855f4545aeaa297485b2c76bacbe9d9fdd0,Etherium,22/06/2021 03:44:16,1000000000000,85,446,9,New
47,SHIBAMAX INU,0xa9aa1921537da0138b61331b4b246aacbd9abaa0,https://etherscan.io/token/0xa9aa1921537da0138b61331b4b246aacbd9abaa0,Etherium,22/06/2021 03:44:16,100000000000000,13,32,18,New
